timestamps,open,high,low,close,volume,amount,$factor
2010-07-29,2.4400253,2.4429274,2.375666,2.3801043,347264.84,826526.56,0.13065784
2010-07-30,2.3776672,2.3776672,2.3472807,2.3672538,225314.16,533375.8,0.13065654
2010-08-02,2.3665936,2.4797766,2.3665936,2.4505844,328843.25,805858.1,0.13065717
2010-08-03,2.441209,2.4719377,2.4243085,2.4285762,134498.4,326639.62,0.13065754
2010-08-04,2.4241016,2.4616582,2.4193218,2.4585855,132791.88,326480.2,0.13065657
2010-08-05,2.4596121,2.5495772,2.4596121,2.5292625,321194.03,812384.06,0.13065663
2010-08-06,2.5231478,2.540219,2.5129051,2.5299764,167158.72,422907.6,0.13065743
2010-08-09,2.5308368,2.5986104,2.5308368,2.588197,296222.53,766682.25,0.13065761
2010-08-10,2.588179,2.6219802,2.5009449,2.5053833,219964.52,551095.44,0.13065717
2010-08-11,2.4923882,2.5436015,2.4923882,2.5239697,116263.766,293446.22,0.13065661
2010-08-12,2.523116,2.593108,2.495973,2.5422359,237461.14,603682.25,0.13065661
2010-08-13,2.5415685,2.5856123,2.5320086,2.567346,120740.48,309982.6,0.13065702
2010-08-16,2.5676978,2.6168628,2.5676978,2.6102052,198308.52,517625.9,0.13065727
2010-08-17,2.6084816,2.6673772,2.6033602,2.6475747,273598.88,724373.44,0.13065685
2010-08-18,2.6457038,2.6702864,2.5999527,2.6091712,230938.81,602558.9,0.13065703
2010-08-19,2.6098459,2.6272583,2.5692163,2.5821905,271223.03,700349.56,0.13065682
2010-08-20,2.5809827,2.5809827,2.53472,2.541719,159514.38,405440.72,0.1306565
2010-08-23,2.530793,2.5760317,2.5265253,2.5729587,101142.55,260235.6,0.13065648
2010-08-24,2.5661201,2.6116998,2.5452936,2.5848985,82952.414,214423.56,0.13065623
2010-08-25,2.5692012,2.5934422,2.5543492,2.5570805,126345.71,323076.16,0.13065644
2010-08-26,2.5590024,2.5700986,2.5351024,2.567026,93622.91,240332.42,0.13065755
2010-08-27,2.5606732,2.5816705,2.5470164,2.5787685,67347.445,173673.47,0.13065663
2010-08-30,2.589361,2.7313936,2.589361,2.7283206,411646.5,1123103.6,0.13065684
2010-08-31,2.706302,2.7482972,2.6952057,2.7182517,240323.83,653260.6,0.13065691
2010-09-01,2.7109513,2.751923,2.6614442,2.678174,195849.48,524519.0,0.13065788
2010-09-02,2.6972535,2.766904,2.6950343,2.7312253,189978.33,518873.6,0.1306569
2010-09-03,2.728011,2.8232696,2.728011,2.7761524,212474.75,589862.3,0.1306576
2010-09-06,2.7996821,2.8782098,2.7996821,2.8461158,222019.92,631894.44,0.13065693
2010-09-07,2.8517866,2.8867831,2.8133757,2.8213995,171238.7,483132.78,0.13065778
2010-09-08,2.816788,2.8594668,2.816788,2.8420537,114886.43,326513.4,0.13065773
2010-09-09,2.8508985,2.886748,2.8338273,2.8490207,164582.39,468898.66,0.13065699
2010-09-10,2.8594587,2.90043,2.8423874,2.8934307,152059.19,439972.72,0.13065755
2010-09-13,2.8850503,2.9610174,2.867125,2.8812943,214787.03,618864.6,0.1306572
2010-09-14,2.8807883,2.9058833,2.8270135,2.8558643,201928.42,576680.2,0.13065733
2010-09-15,2.8509226,2.855873,2.760444,2.7732477,160971.05,446412.6,0.13065754
2010-09-16,2.767239,2.800528,2.6782985,2.7201228,156882.28,426739.06,0.13065675
2010-09-17,2.7180543,2.8071654,2.6888628,2.7622683,137576.72,380023.8,0.13065627
2010-09-20,2.7802558,2.8338602,2.7655745,2.8108137,96252.0,270546.44,0.13065775
2010-09-21,2.84238,2.8488672,2.7998726,2.83521,114347.62,324199.53,0.13065739
2010-09-27,2.835527,2.8850334,2.82187,2.8821316,141963.2,409156.62,0.13065682
2010-09-28,2.878053,2.9224381,2.867981,2.915439,172857.78,503956.3,0.13065724
2010-09-29,2.90891,2.9285417,2.8510392,2.8535998,101579.49,289867.22,0.1306563
2010-09-30,2.8434122,2.888481,2.8338523,2.8804572,111580.984,321404.25,0.13065757
2010-10-08,2.885028,2.9959903,2.885028,2.9623601,241923.25,716663.8,0.13065669
2010-10-11,2.9704216,3.011905,2.8338504,2.864579,334788.9,959029.25,0.13065752
2010-10-12,2.8647041,2.9017482,2.8046136,2.844048,218458.66,621306.94,0.13065648
2010-10-13,2.8338134,2.8428612,2.728826,2.748458,461421.12,1268196.5,0.13065667
2010-10-14,2.748805,2.7535849,2.6769352,2.7047613,407508.25,1102212.5,0.13065681
2010-10-15,2.7061048,2.782583,2.7025197,2.7310286,551828.0,1507058.0,0.13065627
2010-10-18,2.731418,2.8195062,2.6426468,2.7727306,739065.7,2049230.0,0.13065742
2010-10-19,2.755673,2.8150816,2.7314315,2.787255,409072.44,1140189.2,0.13065775
2010-10-20,2.73314,2.8833687,2.7329693,2.857932,362572.3,1036207.06,0.13065778
2010-10-21,2.8611119,2.9029357,2.8303838,2.8588924,287945.8,823206.1,0.13065632
2010-10-22,2.8591168,2.929451,2.8451183,2.8698716,314153.62,901580.56,0.13065754
2010-10-25,2.8850403,2.9669824,2.8701885,2.9533253,277024.62,818143.8,0.13065697
2010-10-26,2.9499333,2.9512992,2.8681614,2.8852327,218821.23,631350.2,0.13065746
2010-10-27,2.8807547,2.891851,2.8423445,2.870512,221287.16,635207.44,0.13065657
2010-10-28,2.8662868,2.8731153,2.8463132,2.8516054,148791.11,424293.53,0.13065754
2010-10-29,2.8123305,2.8179638,2.739948,2.785187,501047.97,1395512.2,0.13065729
