timestamps,open,high,low,close,volume,amount,pred_close,pred_high,pred_low,pred_open
2025-10-28,78.69351,79.19557,78.64439,78.85722,116110.69,9156166.0,78.94738,79.794815,78.25444,79.00096
2025-10-29,78.58548,78.94184,78.040855,78.14236,145274.02,11352054.0,79.20217,79.73547,78.3375,78.75641
2025-10-30,77.59161,78.40038,77.59161,77.860664,203144.66,15816978.0,79.29531,79.75592,78.44987,78.94195
2025-10-31,77.602036,78.36496,77.49889,78.03916,152793.78,11923899.0,77.638664,78.970856,77.450226,78.88661
2025-11-03,78.09318,79.020905,77.49834,78.31146,147887.66,11581299.0,76.450485,77.065796,75.3914,75.71682
2025-11-04,78.3169,78.35402,77.69914,77.98402,113719.49,8868303.0,76.71718,77.544495,75.89192,76.41849
2025-11-05,77.81427,78.09259,77.493385,77.49721,147577.81,11436868.0,76.75814,77.50195,75.17913,75.39986
2025-11-06,78.03861,78.66347,78.03807,78.31857,164154.94,12856380.0,77.07345,77.76162,76.16911,76.64075
2025-11-07,78.31746,78.57231,78.09917,78.22032,80739.68,6315483.5,78.55316,79.465645,77.02905,77.383446
2025-11-10,78.31148,79.87716,78.31039,79.8013,211686.45,16892854.0,77.76283,79.69714,77.39251,78.82478
2025-11-11,79.78491,79.79473,78.96633,79.62064,114258.17,9097309.0,78.42717,79.18275,77.155136,77.52761
2025-11-12,79.67471,80.67776,79.6327,79.956856,141228.77,11292208.0,78.54983,79.75884,77.20161,77.6919
2025-11-13,79.79145,80.416855,79.56661,80.24222,133468.48,10709807.0,79.51615,82.2819,78.2908,79.273125
2025-11-14,80.22147,80.7099,79.47382,79.490204,117603.54,9348329.0,79.66148,81.64557,79.247505,80.44745
2025-11-17,79.348335,80.38521,78.90029,80.27606,147521.88,11842475.0,78.19526,82.62558,77.79841,80.06781
